"BehaviorSpace results (NetLogo 6.0.4)"
"evo_coop_periodic_rainfall_v3.nlogo"
"final_sims"
"06/30/2021 14:40:07:726 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","90","0","90"
"[run number]","show-energy?","average-drought","logistic-growth-rate","gap-width","minimum-plant-number","initial-population","average-rain","energy-transfer-cooperator","energy-transfer-non-cooperator","P","patch-width","[step]","mean cooperator-list","mean noncooperator-list","mean cooperator-lifespan-list","mean noncooperator-lifespan-list","mean cooperator-greentile-list","mean cooperator-blacktile-list","mean noncooperator-greentile-list","mean noncooperator-blacktile-list","mean patchHop-cooperators","mean patchHop-noncooperators"
"117","false","1","0.4","0","500","40","1","0.3","1","0.6","6","500","1.872","26.854","39.32","222.28787878787878","39.32","0","222.28787878787878","0","0","0"
"115","false","1","0.4","0","500","40","1","0.3","1","0.6","6","500","2.064","27.54","46.26086956521739","204.3609022556391","46.26086956521739","0","204.3609022556391","0","0","0"
"120","false","1","0.4","0","500","40","1","0.3","1","0.6","6","500","2.202","26.934","45.32","173.15441176470588","45.32","0","173.15441176470588","0","0","0"
"118","false","1","0.4","0","500","40","1","0.3","1","0.6","6","500","1.822","26.698","48.94736842105263","163.10526315789474","48.94736842105263","0","163.10526315789474","0","0","0"
"119","false","1","0.4","0","500","40","1","0.3","1","0.6","6","500","2.522","27.038","49.96153846153846","205.53174603174602","49.96153846153846","0","205.53174603174602","0","0","0"
"122","false","1","0.4","0","500","40","1","0.3","1","0.8","2","500","1.536","28.358","41","225.35885167464116","41","0","225.35885167464116","0","0","0"
"121","false","1","0.4","0","500","40","1","0.3","1","0.8","2","500","2.082","29.638","45.25","246.44635193133047","45.25","0","246.44635193133047","0","0","0"
"124","false","1","0.4","0","500","40","1","0.3","1","0.8","2","500","2.656","29.096","50","249.53191489361703","50","0","249.53191489361703","0","0","0"
"123","false","1","0.4","0","500","40","1","0.3","1","0.8","2","500","1.616","28.884","46.333333333333336","245.84322033898306","46.333333333333336","0","245.84322033898306","0","0","0"
"128","false","1","0.4","0","500","40","1","0.3","1","0.8","2","500","2.77","28.044","46.67741935483871","227.5948717948718","46.67741935483871","0","227.5948717948718","0","0","0"
"125","false","1","0.4","0","500","40","1","0.3","1","0.8","2","500","2.446","30.532","52.75","257.3503401360544","52.75","0","257.3503401360544","0","0","0"
"126","false","1","0.4","0","500","40","1","0.3","1","0.8","2","500","1.376","29.346","41.470588235294116","229.948","41.470588235294116","0","229.948","0","0","0"
"127","false","1","0.4","0","500","40","1","0.3","1","0.8","2","500","1.966","29.902","44.69565217391305","259.981884057971","44.69565217391305","0","259.981884057971","0","0","0"
"129","false","1","0.4","0","500","40","1","0.3","1","0.8","2","500","1.498","29.572","51.13333333333333","237.41434262948206","51.13333333333333","0","237.41434262948206","0","0","0"
"130","false","1","0.4","0","500","40","1","0.3","1","0.8","2","500","1.42","30.212","40.44444444444444","246.74131274131275","40.44444444444444","0","246.74131274131275","0","0","0"
"135","false","1","0.4","0","500","40","1","0.3","1","0.8","4","500","1.926","28.292","49.15","229.39903846153845","49.15","0","229.39903846153845","0","0","0"
"132","false","1","0.4","0","500","40","1","0.3","1","0.8","4","500","1.342","29.294","42.9375","237.36708860759492","42.9375","0","237.36708860759492","0","0","0"
"131","false","1","0.4","0","500","40","1","0.3","1","0.8","4","500","1.876","29.91","47.9","256.61724137931037","47.9","0","256.61724137931037","0","0","0"
"133","false","1","0.4","0","500","40","1","0.3","1","0.8","4","500","2.124","29.726","43.84","247.08764940239044","43.84","0","247.08764940239044","0","0","0"
"136","false","1","0.4","0","500","40","1","0.3","1","0.8","4","500","2.594","29.004","56.041666666666664","267.9467213114754","56.041666666666664","0","267.9467213114754","0","0","0"
"137","false","1","0.4","0","500","40","1","0.3","1","0.8","4","500","1.918","29.2","46.666666666666664","255.3991769547325","46.666666666666664","0","255.3991769547325","0","0","0"
"134","false","1","0.4","0","500","40","1","0.3","1","0.8","4","500","2.082","29.756","45","265.2757352941176","45","0","265.2757352941176","0","0","0"
"142","false","1","0.4","0","500","40","1","0.3","1","0.8","6","500","1.99","29.936","48.38095238095238","256.21722846441946","48.38095238095238","0","256.21722846441946","0","0","0"
"139","false","1","0.4","0","500","40","1","0.3","1","0.8","4","500","2.162","29.746","45.48","255.4889705882353","45.48","0","255.4889705882353","0","0","0"
"141","false","1","0.4","0","500","40","1","0.3","1","0.8","6","500","1.4","29.31","45.25","227.14410480349346","45.25","0","227.14410480349346","0","0","0"
"143","false","1","0.4","0","500","40","1","0.3","1","0.8","6","500","2.27","28.372","45.46153846153846","248.98237885462555","45.46153846153846","0","248.98237885462555","0","0","0"
"140","false","1","0.4","0","500","40","1","0.3","1","0.8","4","500","2.758","29.512","54.03846153846154","235.12648221343875","54.03846153846154","0","235.12648221343875","0","0","0"
